"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"2","carolina","seu jorge","mpb","carolina é uma menina bem difícil de esquecer andar bonito e um brilho no olhar tem um jeito adolescente que me faz enlouquecer e um molejo que eu não vou te enganar maravilha feminina  meu docinho de pavê inteligente  ela é muito sensual te confesso que estou apaixonado por você ô  carolina  isso é muito natural ô  carolina  eu preciso de você ô  carolina  eu não vou suportar não te ver carolina  eu preciso te falar ô  carolina  eu vou amar você de segunda a segunda  fico louco pra te ver quando eu te ligo  você quase nunca está isso era outra coisa que eu queria te dizer não temos tempo  então melhor deixar pra lá a princípio  no domingo  o que você quer fazer  faça um pedido  que eu irei realizar olha aí  amigo  eu digo que ela só me dá prazer essa mina carolina é de abalar  oi ô  carolina  eu preciso de você ô  carolina  eu não vou suportar não te ver carolina  eu preciso te falar ô  carolina eu vou amar você carolina  carolina carolina  preciso te encontrar carolina  me sinto muito só carolina  preciso te dizer ô  carolina  eu só quero amar você carolina  preciso te encontrar ô  carolina  me sinto muito só carolina  preciso te dizer ô  carolina  eu só quero amar você carolina é uma menina bem difícil de esquecer andar bonito e um brilho no olhar tem um jeito adolescente que me faz enlouquecer e um molejo que eu não vou te enganar maravilha feminina  meu docinho de pavê inteligente  ela é muito sensual te confesso que estou apaixonado por você ô  carolina  isso é muito natural ô  carolina  eu preciso de você ô  carolina  não vou suportar não te ver carolina  eu preciso te falar ô  carolina  eu vou amar você eu vou amar você pois eu vou te dar muito carinho vou te dar beijinho no cangote oi  carolina menina bela  menina bela maravilha feminina carolina  preciso te encontrar carolina  me sinto muito só carolina  preciso te dizer ô  carolina  eu só quero amar você carolina  preciso te encontrar ô  carolina  me sinto muito só carolina  preciso te dizer ô  carolina  eu só quero amar você ô  carolina  preciso te encontrar ô  carolina  me sinto muito só ô  carolina  preciso te dizer ô  carolina  eu só quero amar você ô  carolina  ô  carolina  ô  carolina  ô  carolina  ô  carolina carol  carol  carol  carol  carol carol  carol  carol carol  carol  carol  carol  carol carol  carol  carol  ô  carolina  carol  carol  carol  carol  carol carol  carol  carol carol  carol  carol  carol  carol carol  carol  carol","mpb"
"10","velha infância - 2004 digital remaster","tribalistas","mpb","você é assim um sonho pra mim e quando eu não te vejo eu penso em você desde o amanhecer até quando eu me deito eu gosto de você e gosto de ficar com você meu riso é tão feliz contigo o meu melhor amigo é o meu amor e a gente canta e a gente dança e a gente não se cansa de ser criança a gente brinca na nossa velha infância seus olhos  meu clarão me guiam dentro da escuridão seus pés me abrem o caminho eu sigo e nunca me sinto só você é assim um sonho pra mim quero te encher de beijos eu penso em você desde o amanhecer até quando eu me deito eu gosto de você e gosto de ficar com você meu riso é tão feliz contigo o meu melhor amigo é o meu amor e a gente canta a gente dança a gente não se cansa de ser criança a gente brinca na nossa velha infância seus olhos  meu clarão me guiam dentro da escuridão seus pés me abrem o caminho eu sigo e nunca me sinto só você é assim um sonho pra mim você é assim você é assim um sonho pra mim você é assim você é assim um sonho pra mim você é assim você é assim um sonho pra mim e quando eu não te vejo eu penso em você desde o amanhecer até quando eu me deito eu gosto de você e gosto de ficar com você meu riso é tão feliz contigo o meu melhor amigo é o meu amor","mpb"
"12","telegrama","zeca baleiro","mpb","eu tava triste  tristinho mais sem graça que a top model magrela na passarela eu tava só  sozinho  mais solitário que um paulistano que um canastrão na hora que cai o pano tava mais bobo que banda de rock que um palhaço do circo vostok mas ontem eu recebi um telegrama era você de aracaju ou do alabama dizendo  nêgo  sinta se feliz porque no mundo tem alguém que diz que muito te ama  que tanto te ama  que muito  muito te ama que tanto te ama  por isso hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  eu tava triste  tristinho  mais sem graça que a top model magrela na passarela eu tava só  sozinho  mais solitário que um paulistano que um vilão de filme mexicano tava mais bobo que banda de rock que um palhaço do circo vostok mas ontem eu recebi um telegrama era você de aracaju ou do alabama dizendo  nego sinta se feliz porque no mundo tem alguém que diz que muito te ama  que tanto te ama  que muito te ama  que tanto  tanto te ama  por isso hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria me dê a mão  vamos sair pra ver o sol  mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria hoje eu acordei com uma vontade danada de mandar flores ao delegado de bater na porta do vizinho e desejar bom dia de beijar o português da padaria mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  mama  oh mama  oh mama  quero ser seu quero ser seu quero ser seu quero ser seu papa  me dê a mão  vamos sair pra ver o sol","mpb"
"15","amor e sexo","rita lee","mpb","amor é um livro sexo é esporte sexo é escolha amor é sorte amor é pensamento teorema amor é novela sexo é cinema sexo é imaginação fantasia amor é prosa sexo é poesia o amor nos torna patéticos sexo é uma selva de epiléticos amor é cristão sexo é pagão amor é latifúndio sexo é invasão amor é divino sexo é animal amor é bossa nova sexo é carnaval oh  oh  uh amor é para sempre sexo também sexo é do bom amor é do bem amor sem sexo é amizade sexo sem amor é vontade amor é um sexo é dois sexo antes amor depois sexo vem dos outros e vai embora amor vem de nós e demora amor é cristão sexo é pagão amor é latifúndio sexo é invasão amor é divino sexo é animal amor é bossa nova sexo é carnaval oh  oh  uh amor é isso sexo é aquilo e coisa e tal e tal e coisa uh  uh  uh ai  o amor hum  o sexo","mpb"
"18","último romance","los hermanos","mpb","eu encontrei a quando não quis mais procurar o meu amor e quanto levou foi pra eu merecer antes um mês e eu já não sei e até quem me vê lendo o jornal na fila do pão  sabe que eu te encontrei e ninguém dirá que é tarde demais que é tão diferente assim do nosso amor a gente é que sabe  pequena ah  vai me diz o que é o sufoco que eu te mostro alguém a fim de te acompanhar e se o caso for de ir à praia eu levo essa casa numa sacola eu encontrei a e quis duvidar tanto clichê  deve não ser você me falou pra eu não me preocupar ter fé e ver coragem no amor e só de te ver  eu penso em trocar a minha tv  num jeito de te levar a qualquer lugar que você queira e ir aonde o vento for que pra nós dois sair de casa já é se aventurar ah  vai me diz o que é o sossego que eu te mostro alguém a fim de te acompanhar e se o tempo for te levar eu sigo essa hora  pego carona pra te acompanhar","mpb"
"19","cara valente","maria rita","mpb","não  ele não vai mais dobrar pode até se acostumar ele vai viver sozinho desaprendeu a dividir foi escolher o mal me quer entre o amor de uma mulher e as certezas do caminho ele não pôde se entregar e agora vai ter de pagar com o coração olha lá  ele não é feliz sempre diz que é do tipo cara valente mas veja só a gente sabe esse humor é coisa de um rapaz que sem ter proteção foi se esconder atrás da cara de vilão então  não faz assim  rapaz não bota esse cartaz a gente não cai não ê  ê  ele não é de nada oiá  essa cara amarrada é só  um jeito de viver na pior ê  ê  ele não é de nada oiá  essa cara amarrada é só  um jeito de viver nesse mundo de mágoas não  ele não vai mais dobrar pode até se acostumar ele vai viver sozinho desaprendeu a dividir foi escolher o mal me quer entre o amor de uma mulher e as certezas do caminho ele não pôde se entregar e agora vai ter de pagar com o coração olha lá  ele não é feliz sempre diz que é do tipo cara valente mas veja só a gente sabe esse humor é coisa de um rapaz que sem ter proteção foi se esconder atrás da cara de vilão então  não faz assim  rapaz não bota esse cartaz a gente não cai não ê  ê  ele não é de nada oiá  essa cara amarrada é só  um jeito de viver na pior ê  ê  ele não é de nada oiá  essa cara amarrada é só  um jeito de viver nesse mundo de mágoas ê  ê  ê  ê  ê  ê  ê  ê  ê  ê  ele não é de nada ê  ê  ele não é de nada ê  ê  ele não é de nada ê  ê  só come marmelada ê  ê  ele não é de nada ê  ê  ele não é de nada","mpb"
"20","paciência","lenine","mpb","mesmo quando tudo pede um pouco mais de calma até quando o corpo pede um pouco mais de alma a vida não para enquanto o tempo acelera e pede pressa eu me recuso  faço hora vou na valsa a vida é tão rara enquanto todo mundo espera a cura do mal e a loucura finge que isso tudo é normal eu finjo ter paciência o mundo vai girando cada vez mais veloz a gente espera do mundo e o mundo espera de nós um pouco mais de paciência será que é tempo que lhe falta pra perceber  será que temos esse tempo pra perder  e quem quer saber  a vida é tão rara tão rara mesmo quando tudo pede um pouco mais de calma até quando o corpo pede um pouco mais de alma eu sei  a vida não para a vida não para não será que é tempo que lhe falta pra perceber  será que temos esse tempo pra perder  e quem quer saber  a vida é tão rara tão rara mesmo quando tudo pede um pouco mais de calma até quando o corpo pede um pouco mais de alma eu sei  a vida é tão rara a vida não para não a vida é tão rara","mpb"
"30","vilarejo","marisa monte","mpb","há um vilarejo ali onde areja um vento bom na varanda  quem descansa vê o horizonte deitar no chão pra acalmar o coração lá o mundo tem razão terra de heróis  lares de mãe paraíso se mudou para lá por cima das casas  cal frutas em qualquer quintal peitos fartos  filhos fortes sonhos semeando o mundo real toda gente cabe lá palestina  xangri lá vem andar e voa vem andar e voa vem andar e voa lá o tempo espera lá é primavera portas e janelas ficam sempre abertas pra sorte entrar em todas as mesas  pão flores enfeitando os caminhos  os vestidos os destinos e essa canção tem um verdadeiro amor para quando você for há um vilarejo ali onde areja um vento bom na varanda  quem descansa vê o horizonte deitar no chão pra acalmar o coração lá o mundo tem razão terra de heróis  lares de mãe paraíso se mudou para lá por cima das casas  cal frutas em qualquer quintal peitos fartos  filhos fortes sonhos semeando o mundo real toda gente cabe lá palestina  xangri lá vem andar e voa vem andar e voa vem andar e voa lá o tempo espera lá é primavera portas e janelas ficam sempre abertas pra sorte entrar em todas as mesas  pão flores enfeitando os caminhos  os vestidos os destinos e essa canção tem um verdadeiro amor para quando você for","mpb"
"41","shimbalaiê","maria gadú","mpb","refrão   x   shimbalaiê  quando vejo o sol beijando o mar shimbalaiê  toda vez que ele vai repousar natureza  deusa do viver a beleza pura do nascer uma flor brilhando a luz do sol pescador entre o mar e o anzol pensamento tão livre quanto o céu imagine um barco de papel indo embora pra não mais voltar tendo como guia iemanjá refrão   x   shimbalaiê  quando vejo o sol beijando o mar shimbalaiê  toda vez que ele vai repousar quanto tempo leva pra aprender que uma flor tem vida ao nascer essa flor brilhando á luz do sol pescador entre o mar e o anzol refrão   x   shimbalaiê  quando vejo o sol beijando o mar shimbalaiê  toda vez que ele vai repousar ser capitã desse mundo poder rodar sem fronteiras viver um ano em segundos não achar sonhos besteira me encantar com um livro que fale sobre a vaidade quando mentir for preciso poder falar a verdade refrão   x   shimbalaiê  quando vejo o sol beijando o mar shimbalaiê  toda vez que ele vai repousar","mpb"
"44","pra você guardei o amor","nando reis","mpb","pra você guardei o amor que nunca soube dar o amor que tive e vi sem me deixar sentir sem conseguir provar sem entregar e repartir pra você guardei o amor que sempre quis mostrar o amor que vive em mim vem visitar sorrir  vem colorir solar vem esquentar e permitir quem acolher o que ele tem e traz quem entender o que ele diz no giz do gesto o jeito pronto do piscar dos cílios que o convite do silêncio exibe em cada olhar guardei sem ter porquê nem por razão ou coisa outra qualquer além de não saber como fazer pra ter um jeito meu de me mostrar achei vendo em você explicação nenhuma isso requer se o coração bater forte e arder no fogo o gelo vai queimar pra você guardei o amor que aprendi vendo os meus pais o amor que tive e recebi e hoje posso dar livre e feliz céu cheiro e ar na cor que arco íris risca ao levitar vou nascer de novo lápis  edifício  tevere  ponte desenhar no seu quadril meus lábios beijam signos feito sinos trilho a infância  terço o berço do seu lar guardei sem ter porque nem por razão ou coisa outra qualquer além de não saber como fazer pra ter um jeito meu de me mostrar achei vendo em você explicação nenhuma isso requer se o coração bater forte e arder no fogo o gelo vai queimar pra você guardei o amor que nunca soube dar o amor que tive e vi sem me deixar sentir sem conseguir provar sem entregar e repartir quem acolher o que ele tem e traz quem entender o que ele diz no giz do gesto o jeito pronto do piscar dos cílios que o convite do silêncio exibe em cada olhar guardei sem ter porque nem por razão ou coisa outra qualquer além de não saber como fazer pra ter um jeito meu de me mostrar achei vendo em você explicação nenhuma isso requer se o coração bater forte e arder no fogo o gelo vai queimar","mpb"
"47","de janeiro a janeiro","roberta campos","mpb","não consigo olhar no fundo dos seus olhos e enxergar as coisas que me deixam no ar  deixam no ar as várias fases  estações que me levam com o vento e o pensamento bem devagar outra vez  eu tive que fugir eu tive que correr  pra não me entregar as loucuras que me levam até você me fazem esquecer  que eu não posso chorar olhe bem no fundo dos meus olhos e sinta a emoção que nascerá quando você me olhar o universo conspira a nosso favor a conseqüência do destino é o amor  pra sempre vou te amar mas talvez  você não entenda essa coisa de fazer o mundo acreditar que meu amor  não será passageiro te amarei de janeiro a janeiro até o mundo acabar   x  mas talvez  você não entenda essa coisa de fazer o mundo acreditar que meu amor  não será passageiro te amarei de janeiro a janeiro até o mundo acabar  x  de janeiro a janeiro","mpb"
