Padrão,Frase,Nome da Música,Artista,Gênero Musical,Letra da Música
nome_adj,maravilha,Carolina,Seu Jorge,MPB,"Carolina é uma menina bem difícil de esquecer Andar bonito e um brilho no olhar Tem um jeito adolescente que me faz enlouquecer E um molejo que eu não vou te enganar Maravilha feminina, meu docinho de pavê Inteligente, ela é muito sensual Te confesso que estou apaixonado por você Ô, Carolina, isso é muito natural Ô, Carolina, eu preciso de você Ô, Carolina, eu não vou suportar não te ver Carolina, eu preciso te falar Ô, Carolina, eu vou amar você De segunda a segunda, fico louco pra te ver Quando eu te ligo, você quase nunca está Isso era outra coisa que eu queria te dizer Não temos tempo, então melhor deixar pra lá A princípio, no domingo, o que você quer fazer? Faça um pedido, que eu irei realizar Olha aí, amigo, eu digo que ela só me dá prazer Essa mina Carolina é de abalar, oi Ô, Carolina, eu preciso de você Ô, Carolina, eu não vou suportar não te ver Carolina, eu preciso te falar Ô, Carolina eu vou amar você Carolina, Carolina Carolina, preciso te encontrar Carolina, me sinto muito só Carolina, preciso te dizer Ô, Carolina, eu só quero amar você Carolina, preciso te encontrar Ô, Carolina, me sinto muito só Carolina, preciso te dizer Ô, Carolina, eu só quero amar você Carolina é uma menina bem difícil de esquecer Andar bonito e um brilho no olhar Tem um jeito adolescente que me faz enlouquecer E um molejo que eu não vou te enganar Maravilha feminina, meu docinho de pavê Inteligente, ela é muito sensual Te confesso que estou apaixonado por você Ô, Carolina, isso é muito natural Ô, Carolina, eu preciso de você Ô, Carolina, não vou suportar não te ver Carolina, eu preciso te falar Ô, Carolina, eu vou amar você Eu vou amar você Pois eu vou te dar muito carinho Vou te dar beijinho no cangote Oi, Carolina Menina bela, menina bela Maravilha feminina Carolina, preciso te encontrar Carolina, me sinto muito só Carolina, preciso te dizer Ô, Carolina, eu só quero amar você Carolina, preciso te encontrar Ô, Carolina, me sinto muito só Carolina, preciso te dizer Ô, Carolina, eu só quero amar você Ô, Carolina, preciso te encontrar Ô, Carolina, me sinto muito só Ô, Carolina, preciso te dizer Ô, Carolina, eu só quero amar você Ô, Carolina, ô, Carolina (ô, Carolina) Ô, Carolina, ô, Carolina Carol, Carol, Carol, Carol, Carol Carol, Carol, Carol Carol, Carol, Carol, Carol, Carol Carol, Carol, Carol (ô, Carolina) Carol, Carol, Carol, Carol, Carol Carol, Carol, Carol Carol, Carol, Carol, Carol, Carol Carol, Carol, Carol"
sujeito_aux_adj,guerreira,Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,Rock,"Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Ela não é Do tipo de mulher que se entrega na primeira Mas melhora na segunda e o paraíso é na terceira Ela tem força, ela tem sensibilidade Ela é guerreira, ela é uma deusa, ela é mulher de verdade Ela é daquelas que tu gosta na primeira Se apaixona na segunda e perde a linha na terceira Ela é discreta e cultua bons livros E ama os animais, tá ligado, eu sou o bicho Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Deixa eu te levar pra ver o mundo, baby Deixa eu te mostrar o melhor que eu posso ser Deixa eu te levar pra ver o mundo, baby Deixa eu te mostrar o melhor que eu posso ser Ela não é Do tipo de mulher que se entrega na primeira Mas melhora na segunda e o paraíso é na terceira Ela tem força, ela tem sensibilidade Ela é guerreira, ela é uma deusa, ela é mulher de verdade Ela é daquelas que tu gosta na primeira Se apaixona na segunda e perde a linha na terceira Ela é discreta e cultua bons livros E ama os animais, tá ligado, eu sou o bicho Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Fazer da vida o que melhor possa ser Traçar um rumo novo em direção ao Sol Me sinto muito bem quando vejo o pôr-do-Sol Só pra fazer nascer a Lua Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Mas ela vai voltar Mas ela vai voltar"
sujeito_aux_adj,discreta,Ela Vai Voltar (Todos Os Defeitos De Uma Mulher Perfeita),Charlie Brown Jr.,Rock,"Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Ela não é Do tipo de mulher que se entrega na primeira Mas melhora na segunda e o paraíso é na terceira Ela tem força, ela tem sensibilidade Ela é guerreira, ela é uma deusa, ela é mulher de verdade Ela é daquelas que tu gosta na primeira Se apaixona na segunda e perde a linha na terceira Ela é discreta e cultua bons livros E ama os animais, tá ligado, eu sou o bicho Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Deixa eu te levar pra ver o mundo, baby Deixa eu te mostrar o melhor que eu posso ser Deixa eu te levar pra ver o mundo, baby Deixa eu te mostrar o melhor que eu posso ser Ela não é Do tipo de mulher que se entrega na primeira Mas melhora na segunda e o paraíso é na terceira Ela tem força, ela tem sensibilidade Ela é guerreira, ela é uma deusa, ela é mulher de verdade Ela é daquelas que tu gosta na primeira Se apaixona na segunda e perde a linha na terceira Ela é discreta e cultua bons livros E ama os animais, tá ligado, eu sou o bicho Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Fazer da vida o que melhor possa ser Traçar um rumo novo em direção ao Sol Me sinto muito bem quando vejo o pôr-do-Sol Só pra fazer nascer a Lua Minha mente, nem sempre tão lúcida É fértil e me deu a voz Minha mente, nem sempre tão lúcida Fez ela se afastar, mas ela vai voltar Mas ela vai voltar Mas ela vai voltar Mas ela vai voltar"
sujeito_adj,brincalhona,Meiga e abusada,Anitta,Pop,"Eu, posso conquistar tudo que eu quero Mas, foi tão fácil pra te controlar Com, jeito de menina brincalhona A fórmula perfeita pra poder te comandar Pensou, que eu fosse cair mesmo nesse papo? Que, tá solteiro e agora quer parar Eu, finjo, vou fazendo meu teatro E te faço, de palhaço, pra te dominar Tá fazendo tudo que eu mando Achando que logo vai me ter Mas no fundo eu só tô brincando com você Poderosa, eu sou quase um anjo Hipnose, já ganhei você Nesse jogo vamos ver quem é que vai vencer Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não Eu, posso conquistar tudo que eu quero Mas, foi tão fácil pra te controlar Com, jeito de menina brincalhona A fórmula perfeita pra poder te comandar Pensou, que eu fosse cair mesmo nesse papo? Que, tá solteiro e agora quer parar Eu, finjo, vou fazendo meu teatro E te faço, de palhaço, pra te dominar Tá fazendo tudo que eu mando Achando que logo vai me ter Mas no fundo eu só tô brincando com você Poderosa, eu sou quase um anjo Hipnose, já ganhei você Nesse jogo vamos ver quem é que vai vencer Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não (Eu sempre digo não) Toda produzida, Te deixo quente Meiga e abusada faço você se perder E quem foi que disse que eu estava apaixonada por você? Eu só quero saber Linda e perfumada, Na tua mente Faz o que quiser comigo na imaginação Homem do teu tipo eu uso, mas se chega lá eu digo não."
sujeito_aux_adj,inacreditável,Envolvidão,Rael,MPB,"Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão Ma-ma-malandro era inevitável eu não me envolver Ela é inacreditável, você tinha que ver Se liga essas pretinha, toda emperiquitadinha Meio modeletizinha na pegada ""france"" Tem a simplicidade que é difícil se ver E a sagacidade que é difícil se ter É de falar baixinho, gosta de calor, carinho E quando vai tomar um vinho pra brindar diz ""santé"" A gente se combina, a gente tem tudo a ver Se é coisa do destino eu já não sei te dizer Havia conhecido através de um conhecido Ela prima de um amigo que eu trombei num rolê, e [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão E ela tinha uma mania de caçar assunto Dizia que amor-ciúme era um conjunto Pedia pra Eu valorizar as crise de ciúme dela Porque se o ciúme dela sumisse o amor também sumia junto e Curtia Nutella, revista, novela, sambista portela A pista, favela, mó sinistra ela Frasista e bela, lia Sérgio Vaz, era fã de Mandela Vai pensando que ela é fácil rapaz Ela não é daquelas minas ""tanto fez, tanto faz"" Não cabe naquela rima de alguns anos atrás Nem combina com as mulheres vulgares Uma noite e nada mais [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão. Não vou mentir Fiquei envolvidão E ela quer, quer, quer, quer, quer, quer (x3) Eu fiquei envolvidão."
sujeito_aux_adj,fácil,Envolvidão,Rael,MPB,"Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão Ma-ma-malandro era inevitável eu não me envolver Ela é inacreditável, você tinha que ver Se liga essas pretinha, toda emperiquitadinha Meio modeletizinha na pegada ""france"" Tem a simplicidade que é difícil se ver E a sagacidade que é difícil se ter É de falar baixinho, gosta de calor, carinho E quando vai tomar um vinho pra brindar diz ""santé"" A gente se combina, a gente tem tudo a ver Se é coisa do destino eu já não sei te dizer Havia conhecido através de um conhecido Ela prima de um amigo que eu trombei num rolê, e [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão E ela tinha uma mania de caçar assunto Dizia que amor-ciúme era um conjunto Pedia pra Eu valorizar as crise de ciúme dela Porque se o ciúme dela sumisse o amor também sumia junto e Curtia Nutella, revista, novela, sambista portela A pista, favela, mó sinistra ela Frasista e bela, lia Sérgio Vaz, era fã de Mandela Vai pensando que ela é fácil rapaz Ela não é daquelas minas ""tanto fez, tanto faz"" Não cabe naquela rima de alguns anos atrás Nem combina com as mulheres vulgares Uma noite e nada mais [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão. Não vou mentir Fiquei envolvidão E ela quer, quer, quer, quer, quer, quer (x3) Eu fiquei envolvidão."
sujeito_adj,mulheres vulgares,Envolvidão,Rael,MPB,"Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão Ma-ma-malandro era inevitável eu não me envolver Ela é inacreditável, você tinha que ver Se liga essas pretinha, toda emperiquitadinha Meio modeletizinha na pegada ""france"" Tem a simplicidade que é difícil se ver E a sagacidade que é difícil se ter É de falar baixinho, gosta de calor, carinho E quando vai tomar um vinho pra brindar diz ""santé"" A gente se combina, a gente tem tudo a ver Se é coisa do destino eu já não sei te dizer Havia conhecido através de um conhecido Ela prima de um amigo que eu trombei num rolê, e [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão E ela tinha uma mania de caçar assunto Dizia que amor-ciúme era um conjunto Pedia pra Eu valorizar as crise de ciúme dela Porque se o ciúme dela sumisse o amor também sumia junto e Curtia Nutella, revista, novela, sambista portela A pista, favela, mó sinistra ela Frasista e bela, lia Sérgio Vaz, era fã de Mandela Vai pensando que ela é fácil rapaz Ela não é daquelas minas ""tanto fez, tanto faz"" Não cabe naquela rima de alguns anos atrás Nem combina com as mulheres vulgares Uma noite e nada mais [Refrão] Ela tem cores, curvas, sabores Coisas que seduz e, Eu levo flores, som de cantores E ela ama ouvir Se der minha hora preciso ir embora Mas ela me impede De um jeito louco, ""fica um pouco"" Sou incapaz de ir. Não vou mentir Fiquei envolvidão. Não vou mentir Fiquei envolvidão E ela quer, quer, quer, quer, quer, quer (x3) Eu fiquei envolvidão."
pronoun_aposto_adjetivo_noun,bebida,Largado Às Traças - Ao Vivo,Zé Neto & Cristiano,Sertanejo,"Meu orgulho caiu quando subiu o álcool Aí deu ruim pra mim E, pra piorar, tá tocando um modão De arrastar o chifre no asfalto Tô tentando te esquecer Mas meu coração não entende De novo, eu fechando esse bar Afogando a saudade num querosene Vou beijando esse copo, abraçando as garrafas Solidão é companheira nesse risca faca Enquanto cê não volta, eu tô largado às traças Maldito sentimento que nunca se acaba Vou beijando esse copo, abraçando as garrafas Solidão é companheira nesse risca faca Enquanto cê não volta, eu tô largado às traças Maldito sentimento que nunca se acaba Ô ô ô, ô ô ô A falta de você, bebida não ameniza Ô ô ô, ô ô ô Tô tentando apagar fogo com gasolina Meu orgulho caiu quando subiu o álcool Aí deu ruim pra mim E, pra piorar, tá tocando um modão De arrastar o chifre no asfalto Tô tentando te esquecer Mas meu coração não entende De novo, eu fechando esse bar Afogando a saudade num querosene Vou beijando esse copo, abraçando as garrafas Solidão é companheira nesse risca faca Enquanto cê não volta, eu tô largado às traças Maldito sentimento que nunca se acaba Vou beijando esse copo, abraçando as garrafas Solidão é companheira nesse risca faca Enquanto cê não volta, eu tô largado às traças Maldito sentimento que nunca se acaba Ô ô ô, ô ô ô A falta de você, bebida não ameniza Ô ô ô, ô ô ô Tô tentando apagar fogo com gasolina Ô ô ô, ô ô ô A falta de você, bebida não ameniza Ô ô ô, ô ô ô Tô tentando apagar fogo com gasolina"
aposto_adjetivo_noun,times,"Dois copos (feat. Ferrugem, MC Kevin O Chris e L7NNON)",Papatinho,Rap,"""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você Que notícia boa, vim aqui dizer Que tá com saudade e quer me ver Lembranças boas, que tempo bom Dentro do carro e aquele som Fazendo parte da novela que eu inventei com você E os atores principais somos nós Até comprei aquele vinho que cê gosta de beber Sentada com a minha blusa no sofá Minha finalidade era ficar em casa Disse que estava na Penha E brotou aqui do nada Beber meu copo de vinho foi o que tu sempre quis Então vem com Kevin O Chris ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você ""C"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você Hoje é só nós, dois copos Nós dois, dois corpos Fez o convite disse que hoje é minha Sem pensar duas vezes disse que eu topo Linda, vai descendo to chegando Tenho pouco tempo, tempo não espera Quando ""c"" passa, tudo para ""Cê"" me olha o coração acelera Chega a ser engraçado Eu fico até sem jeito Deixa que o problema eu resolvo depois Só penso em você? Mentira! A verdade é que eu só penso em nós dois Agora já era, ou melhor, já é Ela disse é nós, eu ""só fé"" Pensei na hora H, ela na H Stern Quero ir pra barcelona, ela: times square E ela foi dar um rolé com as amigas Sigo no estúdio trancado Sei que não me troca Vou trocar de vida ganhando um trocado Pra falar de amor? Sinceramente to enferrujado mas To com Ferrugem do lado, o beat é do Papato ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos Juro, só penso em você ""Cê"" gosta quando eu te toco Um vinho bom e dois copos Suor pingando nos corpos... yeah Juro, só penso em você Juro, só penso em você"
sujeito_aux_adj,braba,BRABA,Luísa Sonza,Pop,"Deixa eu te falar Eu sou do tipo que não dá pra decifrar O meu balão subiu, não vou aterrissar Não vou parar Não vou parar Sei que todo mundo quer um ""pedacin"" É que a menina faz ""gostosin"" Não dá pra disfarçar Tá no seu olhar Se eu comecei, vou terminar Então desce Esfrego na sua cara Que a menina é braba e você vai"
