"linha_original_aproximada","Nome da Música","Artista","Gênero Musical","Letra da Música","genero_filtrado"
"68","vou desafiar você","mc sapao","funk","vou desafiar você você diz que sabe dançar você diz que sabe mexer vai ter que me provar eu vou pagar pra ver você diz que não se cansa que na balada é a rainha da dança vou desafiar você você diz que sabe dançar você diz que sabe mexer vai ter que me provar eu vou pagar pra ver você diz que não se cansa que na balada é a rainha da dança então pode se preparar vou pedir pro o dj soltar um som  te chamar na batida é empolgação ela desce  vai até o chão é a mistura do eletro e o tamborzão você diz que rebola então vai  então vai  então vai provocando ela mexe então desce  então desce  então desce realmente é rainha  ela acaba comigo já provou que é top e também tem estilo quando empina e faz o quadradinho então rebola rebolando ela desce  então desce  realmente é rainha  ela acaba comigo já provou que é top e também tem estilo quando empina e faz o quadradinho então rebola rebolando ela desce  então desce  realmente é rainha  ela acaba comigo já provou que é top e também tem estilo quando empina e faz o quadradinho","funk"
"71","pior que sinto falta","lexa","funk","lembro bem  você me ganhou tudo maravilha quando começou eu tava sem ninguém e ele também foi rolando um clima e a gente ficou em pouco tempo a gente começou a se encontrar fizemos tantos planos  até em namorar e de repente  veio contra a gente uma chuva de mentiras para nos separar inexplicavelmente o que era pra sempre foi desaparecendo  e se perdeu no ar até agora não entendi direito o que rolou foi cada um pra um lado  acabou pior que eu sinto falta  do beijo eu sinto sua falta  amor pior que eu sinto falta  do cheiro seus olhos  do seu jeito  do calor pior que eu sinto falta  do beijo eu sinto sua falta  amor pior que eu sinto falta  do cheiro seus olhos  do seu jeito  do calor não esqueço  quase me enlouqueço quando eu me lembro do fim de semana a gente se beijava até de madrugada e quando acordava  ainda te via sorrindo na cama você de palhaçada  me descabelava e me segurava  como sempre fazendo cosquinhas e outra vez a gente se amava e o tempo passava e depois ficava de conchinha eu adoro esse seu carinho essa sua cara de santinho que não vale nada me sentia bem no paraíso olhando esse teu sorriso lindo já me atentava que saudade de nós  que vontade de amor que saudade  vontade  amor  pior que eu sinto falta  do beijo eu sinto sua falta  amor pior que eu sinto falta  do cheiro seus olhos  do seu jeito  do calor     x","funk"
"72","demorô","biel","funk","oh  o oh  o oh  o oh  o oh o oh  o oh  o oh  ooh oh  o oh  o oh  o oh  ooh o oh  o oh  o oh  ooh sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou então vai lá abre tua agenda fica a vontade você tem o direito e eu não tenho vaidade aí escolhe um nome olha o fernando falador profissional e vive só te esculachando pedro  paulo  lucas  felipe errar mais de uma vez cê ta ligada que é burrice bruno  césar  márcio  fael nada tem sabor depois que prova do biel sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou quer mais  vem cá meu bem  é só ligar pra mim que eu vou que vou eu vou fazendo assim vem cá  meu bem  cê sabe como é eu te deixo gamada  tão descontrolada  de cabelo em pé ou então vai lá  abre tua agenda fica a vontade você tem o direito e eu não tenho vaidade aí escolhe um nome olha o fernando falador profissional e vive só te esculachando pedro  paulo  lucas  felipe errar mais de uma vez cê ta ligada que é burrice bruno  césar  márcio  fael nada tem sabor depois que prova do biel sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou sabe que o biel caprichou se quiser de novo demorô é só me chamar que eu já tô pede mais que eu te dou oh  o oh  o oh  o oh  ooh o oh  o oh  o oh  ooh oh  o oh  o oh  o oh  ooh o oh  o oh  o oh  ooh","funk"
"89","ela é do tipo","mc kevin o chris","funk","ela é do tipo que gosta muito de conversar mas não fica de papapa vai se despindo  deitando na minha cama prontamente  conversando  ela tira a minha roupa essa menina mete muito gostoso dá pra ver que ela gosta do que faz novinha safada e simpática deixou o kevin com gosto de quero mais vai  rebola pro pai  vai  novinha  vai vai descendo  vai descendo vai  rebola pro pai  novinha  vai descendo  vai descendo vai  rebola pro pai  vai  novinha  vai vai descendo  vai descendo vai  rebola pro pai  novinha  vai descendo  vai descendo a mãe quis prender demais sua filha e virou um controle sem pilha pra que foi maltratar a menina  e hoje  de maior  o kevin cria vai  rebola pro pai  vai  novinha  vai vai descendo  vai descendo vai  rebola pro pai  novinha  vai descendo  vai descendo vai  rebola pro pai  vai  novinha  vai vai descendo  vai descendo vai  rebola pro pai  novinha  vai descendo  vai descendo","funk"
"98","tudo aconteceu","mc du black","funk","ei  delacruz na voz du black na voz  na voz  na voz dj salgueirinho  o rei da fuzarca vou viajar mais uma vez o tesão foi mais forte que eu  foi mais forte que eu  no baile da fm tudo aconteceu uísque e bala eu confesso que já estava na onda você chegou e me pediu de novo no banco do carona agora fudeu eu não paro mais na onda que eu tô eu não paro mais  não paro mais  ritmo doido eu não paro mais no ódio que eu tô eu não paro mais  não paro mais  senta  firma  trava em cima senta  firma  trava em cima eu me apaixonei  saudade que não acaba mais mais uma vez o tesão foi mais forte que eu  foi mais forte que eu  no baile da fm tudo aconteceu manda até o pente ela já vem no faro pra fazer a minha mente com papinho safado vai diretamente no meu ponto fraco  no meu ponto fraco  proposta indecente dentro do meu carro colocando a mão por dentro do meu short banco do carona desce a fumaça sobe depois que acende o beck é mó sacode fode  fode  fode  fode  fode na onda foi assim que  nóis  fudeu na     pede pra parar nem eu na história a foda que  nóis  deu mais uma xota que se envolveu  não teve jeito  eaí  mais uma vez o tesão foi mais forte que eu  foi mais forte que eu  no baile da fm tudo aconteceu agora fudeu eu não paro mais na onda que eu tô eu não paro mais  não paro mais  ritmo doido eu não paro mais no ódio que eu tô eu não paro mais  não paro mais  senta  firma  trava em cima senta  firma  trava em cima senta  firma  trava em cima senta  firma saudade que não acaba mais mais uma vez o tesão foi mais forte que eu  foi mais forte que eu  no baile da fm tudo aconteceu tudo aconteceu  tudo aconteceu tudo aconteceu  tudo aconteceu","funk"
"101","a boba fui eu - recorded at mosh studios, são paulo","ludmilla","funk","se era isso que você queria uma noite apenas você vai ter o que quer de mim um lance sem compromisso e fim se era isso que você queria uma noite só sem sentimento vai ser assim você vai ter o que quer de mim e a boba fui eu que quis acreditar que era amor você não mereceu mas o meu coração se entregou quem mandou eu me apaixonar quem mandou eu não me controlar quem mandou eu me entregar quem mandou eu me apegar a boba fui eu a boba fui eu quem mandou ficar na tua mão quem mandou te dar meu coração quem mandou eu me entregar quem mandou eu me apegar a boba fui eu a boba fui eu se era isso que você queria uma noite apenas você vai ter o que quer de mim um lance sem compromisso e fim e o bobo fui eu que quis acreditar que era amor você não mereceu mas o meu coração se entregou quem mandou eu me apaixonar quem mandou eu não me controlar quem mandou eu me entregar quem mandou eu me apegar o bobo fui eu o bobo fui eu quem mandou ficar na tua mão quem mandou te dar meu coração quem mandou eu me entregar quem mandou eu me apegar o bobo fui eu o bobo fui eu quem mandou eu me apaixonar quem mandou eu não me controlar quem mandou eu me entregar quem mandou eu me apegar o bobo fui eu a boba fui eu quem mandou ficar na tua mão quem mandou te dar meu coração quem mandou eu me entregar quem mandou eu me apegar o bobo fui eu a boba fui eu a boba fui eu o bobo fui eu a boba fui eu se era isso que você queria","funk"
"106","combatchy (feat. mc rebecca)","anitta","funk","agora vai começar o combate quica  quica  bate  bate hoje vai rolar um fight de bumbum aqui não vai ter empate o bagulho é de verdade meu popô vai dar nocaute em qualquer um ô bota a cara pra tu ver o que vai acontecer eu vou te dar prejú vai tomar surra de bumbum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum turudum round    bota pra tremer  tremer  tremer round    bota pra descer round    joga  joga  joga o popozão finaliza quando vai no chão  vai no chão","funk"
"107","ilusão (cracolândia)","mc hariel","funk"," alok  pra aqueles que querem fugir da realidade cuidado com aquilo que te faz voar mas depois tira o seu céu e o que sobra  é só o inferno  mc hariel  enquanto a lata chacoalhar e a ilusão for a sensação de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso  mc davi  já que é pra fazer uns consciente  então fique bem ciente que os moleque é viciado em canetar vários viciou e ficou demente  só preju pros seus parentе e a dona maria é crente e foi orar era o mais brabo  chapa quеnte  viciou no da tenente agora é dependente de droga molecada  pensa lá na frente antes de ser inconsequente de ir na ideia dos outros pra usar e eu vou passar a visão pros meus não precisa morrer pra falar com deus e eu vou passar a visão pros meus não precisa morrer pra falar com deus  mc hariel  espera um pouco  para e pensa e controle com as droga que um barco sem direção  o mar leva pra rocha a viagem é muito louca e sempre perigosa e tá transformando em zumbi vários truta da hora e lembra daquele parceiro que era atacante na quadra e com a mina  sempre avançado no tempo  pelo linguajar e pela picadilha dançava um break com nóis sabadão quando tinha escola da família tá desandado no óleo e de bom exemplo  virou parasita é que o beck enrolou e a brisa bateu na mente injuriada é que a nota enrolou ele tava na hora errada com a banca errada quando a brisa bateu o convite foi feito  a atenção desviada prejudicou  perdeu tudo o que tinha a família  os amigo  hoje não tem mais nada enquanto a lata chacoalhar e a ilusão for a sensação de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso enquanto a lata chacoalhar e a ilusão for a sensação de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso  mc ryan sp  ahn  ahn papai  solicito socorro  me instrua me tire dessa rua escura fui dominado pela droga  desisti do ensino veio o apocalipse sombrear o meu caminho desde o início  eu já sonhava em conquistar o cargo currículo no artigo    tava pegando mais fácil abandonei a linha e o pipa pelo motor da hornet foi na porta do banco no artigo     e eu vou passar a visão pros meus não precisa morrer pra falar com deus enquanto a lata chacoalhar e a ilusão de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso  salvador da rima  eu vi de perto toda a adrenalina eu vi os corre  eu vi os mano  eu vi as mina em cima as peça  as droga  as festa  os baile o desespero da sua família a necessidade fez o menor se envolver com treze começou a usar  com quinze a vender não tem nada a perder  então vai parar pra quê  dezoito ano       preso sem viver amigo de copo tem um monte  pode pá vários amigão pra chamar pra errar poucos desses são os que vão te ajudar amigo memo é só a mãe que vai te visitar imagina o mundão mil grau e você aí privado falando com os seus parente através de carta cê ia ver se é fechamento quem tá do seu lado e aprender que a liberdade se troca por nada essa eu fiz pra molecada que tá na ilusão que deixou de correr pro sonho pra correr pro crime cadeia não é mamão e o crime não é bombom então usa a mente pro certo que a vida não é filme essa eu fiz pra molecada que tá na ilusão que deixou de correr pro sonho pra correr pro crime cadeia não é mamão e o crime não é bombom então usa a mente pro certo que a vida não é filme  certo   mc hariel  enquanto a lata chacoalhar e a ilusão for a sensação de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso enquanto a lata chacoalhar e a ilusão for a sensação de ser mais poderoso vários vai memo se arrastar que a cracolândia tá lotada de curioso  alok  e pra aqueles que querem desistir da vida porque não esperam mais nada dela talvez seja ela que espera algo de você","funk"
"108","sentadão","pedro sampaio","funk","instigada  essa danada movimenta e vem por cima vai sentando re  rebolando vai  vai  sentando re  rebolando vai  instigada essa danada movimenta e vem por cima vai sentando re  rebolando vai  vai  vai vai  vai  x   sentadão sentadão olha o movimento que ela faz jogando esse bundão no chão chão  chão  chão  chão  chão jogando o seu bundão no chão  chão  chão chão  chão sentadão batida envolvente na malemolência no beat  ela senta e representa senta senta sentadão sentadão felipe original  fala tu que eu tô cansado pe dro sam pai o vai ","funk"
"110","comprei um lança","mc jacaré","funk","hoje é aniversário dela já escolhi o que eu vou dar pra ela o meu presente é o melhor que tem quando tu ta na onda me chama de meu bem comprei um lança pra baforar com ela em cima da minha laje eu taco meu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro  oh  jacaré  comprei um lança pra baforar com ela em cima da minha laje meu taco que eu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro  oh  jacaré  comprei um lança pra baforar com ela em cima da minha laje meu taco que eu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro hoje é aniversário dela já escolhi o que eu vou dar pra ela o meu presente é o melhor que tem quando tu ta na onda me chama de meu bem comprei um lança pra baforar com ela em cima da minha laje eu taco meu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro comprei um lança pra baforar com ela em cima da minha laje eu taco meu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro  oh  jacaré  jacaré   oh  jacaré  jacaré  comprei um lança pra baforar com ela em cima da minha laje eu taco meu taco nela nois dois locão no doze tu faz o movimento que eu boto embaixo boto em cima e boto dentro","funk"
